0x0000_00D8;38;54;1;9;UART3;Single interrupt vector for UART error sources 
0x0000_00DC;39;55;1;9;ADC0;-
0x0000_00E0;40;56;1;10;CMP0;-
0x0000_00E4;41;57;1;10;CMP1;-
0x0000_00E8;42;58;1;10;FTM0;Single interrupt vector for all sources 
0x0000_00EC;43;59;1;10;FTM1;Single interrupt vector for all sources 
0x0000_00F0;44;60;1;11;FTM2;Single interrupt vector for all sources 
0x0000_00F4;45;61;1;11;CMT;-
0x0000_00F8;46;62;1;11;RTC;Alarm interrupt 
0x0000_00FC;47;63;1;11;RTC;Seconds interrupt 
0x0000_0100;48;64;1;12;PIT;Channel 0 
0x0000_0104;49;65;1;12;PIT;Channel 1 
0x0000_0108;50;66;1;12;PIT;Channel 2 
0x0000_010C;51;67;1;12;PIT;Channel 3 
0x0000_0110;52;68;1;13;PDB;-
0x0000_0114;53;69;1;13;USB OTG;-
0x0000_0118;54;70;1;13;USB Charger Detect;-
0x0000_011C;55;71;1;13;-;-
0x0000_0120;56;72;1;14;DAC0;-
0x0000_0124;57;73;1;14;MCG;-
0x0000_0128;58;74;1;14;Low Power Timer;-
0x0000_012C;59;75;1;14;PORTA;Pin detect (PORT A) 
0x0000_0130;60;76;1;15;PORTB;Pin detect (PORT B) 
0x0000_0134;61;77;1;15;PORTC;Pin detect (PORT C) 
0x0000_0138;62;78;1;15;PORTD;Pin detect (PORT D) 
0x0000_013C;63;79;1;15;PORTE;Pin detect (PORT E) 
0x0000_0140;64;80;2;16;Software;Software interrupt 
0x0000_0144;65;81;2;16;SPI2;Single interrupt vector for all sources 
0x0000_0148;66;82;2;16;UART4;Single interrupt vector for UART status sources 
0x0000_014C;67;83;2;16;UART4;Single interrupt vector for UART error sources 
0x0000_0150;68;84;2;17;UART5;Single interrupt vector for UART status sources 
0x0000_0154;69;85;2;17;UART5;Single interrupt vector for UART error sources 
0x0000_0158;70;86;2;17;CMP2;-
0x0000_015C;71;87;2;17;FTM3;Single interrupt vector for all sources
0x0000_0160;72;88;2;18;DAC1;-
0x0000_0164;73;89;2;18;ADC1;-
0x0000_0168;74;90;2;18;I2C2;-
0x0000_016C;75;91;2;18;CAN0;OR'ed Message buffer (0-15)
0x0000_0170;76;92;2;19;CAN0;Bus Off
0x0000_0174;77;93;2;19;CAN0;Error
0x0000_0178;78;94;2;19;CAN0;Transmit Warning
0x0000_017C;79;95;2;19;CAN0;Receive Warning
0x0000_0180;80;96;2;20;CAN0;Wake Up
0x0000_0184;81;97;2;20;SDHC;-
0x0000_0188;82;98;2;20;ENET MAC;IEEE 1588 Timer Interrupt
0x0000_018C;83;99;2;20;ENET MAC;Transmit interrupt
0x0000_0190;84;100;2;21;ENET MAC;Receive interrupt
0x0000_0194;85;101;2;21;ENET MAC;Error and miscellaneous interrupt 
